province,housing_type,age,floor,m_2,room_number,price
Adalar,Daire,33,3,140,3+1,4800000
Adalar,Daire,31,2,138,4+1,8500000
Adalar,Daire,36,1,59,1+1,2475000
Adalar,Daire,35,3,227,6+1,8500000
Adalar,Daire,40,2,150,3+2,5900000
Adalar,Daire,44,4,190,4+1,6500000
Adalar,Daire,30,2,160,4+1,7200000
Adalar,Daire,30,3,185,3+1,13120000
Adalar,Daire,44,2,114,3+1,4500000
Adalar,Daire,27,2,135,3+1,6875000
Adalar,Daire,20,2,80,2+1,5750000
Adalar,Daire,30,2,140,3+1,9500000
Adalar,Daire,30,3,137,3+1,3900000
Adalar,Daire,39,1,56,1+1,2490000
Adalar,Daire,35,2,110,3+1,4900000
Adalar,Daire,30,4,198,4+1,4500000
Adalar,Daire,40,1,90,2+1,3750000
Adalar,Daire,35,1,110,3+1,5650000
Adalar,Daire,38,3,120,3+1,7500000
Adalar,Daire,24,3,150,3+1,7900000
Adalar,Daire,31,3,110,3+1,4250000
Adalar,Daire,28,2,80,1+1,2800000
Adalar,Daire,25,1,85,2+1,3700000
Adalar,Daire,26,2,140,3+1,4500000
Adalar,Daire,31,3,160,3+1,4200000
Adalar,Daire,50,2,250,4+1,6200000
Adalar,Daire,Sıfır Bina,3,230,4+1,10000000
Adalar,Daire,37,1,98,3+1,4150000
Adalar,Daire,25,3,135,3+2,4000000
Adalar,Daire,31,3,110,3+1,3200000
Adalar,Daire,31,3,200,4+2,7700000
Adalar,Daire,35,2,130,3+1,4000000
Adalar,Daire,33,2,160,3+1,8500000
Adalar,Daire,25,2,90,2+1,2750000
Adalar,Daire,30,2,115,3+1,5000000
Adalar,Daire,50,4,200,1+1,5250000
Adalar,Daire,31,1,90,2+1,1900000
Adalar,Daire,31,2,140,3+1,7500000
Adalar,Daire,25,3,334,6+3,8250000
Adalar,Daire,35,2,200,4+1,10500000
Adalar,Daire,25,2,110,2+1,4350000
Adalar,Daire,32,3,90,2+1,8000000
Adalar,Daire,30,3,135,3+1,5000000
Adalar,Daire,1,3,110,3+1,6000000
Adalar,Daire,10,3,90,1+1,7500000
Adalar,Daire,35,1,140,4+2,5700000
Adalar,Daire,10,1,112,2+1,7500000
Adalar,Daire,10,2,103,2+1,7500000
Adalar,Daire,31,3,150,3+1,5800000
Adalar,Daire,25,2,130,3+1,5500000
Adalar,Daire,41,2,160,4+1,5450000
Adalar,Daire,35,2,85,2+1,4500000
Adalar,Daire,20,1,90,2+1,1900000
Adalar,Daire,35,2,400,4+2,10750000
Adalar,Daire,31,3,120,3+1,5900000
Adalar,Daire,37,1,114,2+1,3200000
Adalar,Daire,16,5,140,3+1,14500000
Adalar,Daire,31,3,137,3+1,3900000
Adalar,Daire,40,4,279,5+2,14000000
Adalar,Daire,21,3,170,4+1,6250000
Adalar,Daire,40,3,130,3+1,6000000
Adalar,Daire,26,2,130,3+1,5900000
Adalar,Daire,31,2,120,3+1,3350000
Adalar,Daire,37,2,90,2+1,3000000
Adalar,Daire,30,2,330,7+3,9500000
Adalar,Daire,32,3,148,2+1,9500000
Adalar,Daire,31,4,198,4+1,4500000
Adalar,Daire,35,2,130,3+1,9500000
Adalar,Daire,30,2,160,4+1,5850000
Adalar,Daire,32,2,105,3+1,6000000
Adalar,Daire,30,2,130,3+2,6500000
Adalar,Daire,17,1,100,2+1,3500000
Adalar,Yalı Dairesi,41,2,138,3+1,9450000
Adalar,Yalı Dairesi,27,3,170,4+1,19950000
Adalar,Yalı Dairesi,30,2,180,3+1,9900000
Adalar,Yalı Dairesi,25,2,140,3+1,9900000
Arnavutköy,Daire,Sıfır Bina,4,160,3+2,2565000
Arnavutköy,Daire,1,3,165,4+2,1950000
Arnavutköy,Daire,Sıfır Bina,4,185,4+2,3000000
Arnavutköy,Daire,4,5,160,4+1,5950000
Arnavutköy,Daire,12,8,85,2+1,1500000
Arnavutköy,Daire,1,1,80,2+1,1700000
Arnavutköy,Daire,8,2,120,3+1,2100000
Arnavutköy,Daire,2,2,110,2+1,2300000
Arnavutköy,Daire,Sıfır Bina,3,260,6+2,2950000
Arnavutköy,Daire,Sıfır Bina,5,185,4+1,2990000
Arnavutköy,Daire,12,2,75,2+1,1250000
Arnavutköy,Daire,7,1,120,2+1,1690000
Arnavutköy,Daire,Sıfır Bina,1,100,2+1,1650000
Arnavutköy,Daire,5,11,66,1+1,1420000
Arnavutköy,Daire,10,3,180,3+2,1850000
Arnavutköy,Daire,Sıfır Bina,4,215,4+2,3050000
Arnavutköy,Daire,Sıfır Bina,1,120,3+1,1970000
Arnavutköy,Daire,5,1,125,3+1,2100000
Arnavutköy,Daire,5,4,100,2+1,3300000
Arnavutköy,Daire,6,1,105,2+1,1450000
Arnavutköy,Daire,Sıfır Bina,1,100,2+1,1575000
Arnavutköy,Daire,Sıfır Bina,5,250,5+3,3170000
Arnavutköy,Daire,Sıfır Bina,4,240,4+2,2195000
Arnavutköy,Daire,Sıfır Bina,2,70,1+1,1850000
Arnavutköy,Daire,Sıfır Bina,1,135,3+1,1890000
Arnavutköy,Daire,3,5,180,4+2,2750000
Arnavutköy,Daire,Sıfır Bina,2,135,3+1,1930000
Arnavutköy,Daire,16,1,143,3+1,3400000
Arnavutköy,Daire,4,1,105,2+1,1475000
Arnavutköy,Daire,Sıfır Bina,1,95,2+1,1350000
Arnavutköy,Daire,Sıfır Bina,2,80,2+1,1500000
Arnavutköy,Daire,Sıfır Bina,1,110,3+1,1850000
Arnavutköy,Daire,5,3,210,3+2,2300000
Arnavutköy,Daire,Sıfır Bina,1,100,2+1,1750000
Arnavutköy,Daire,Sıfır Bina,4,110,3+2,1750000
Arnavutköy,Daire,5,1,84,2+1,1350000
Arnavutköy,Daire,Sıfır Bina,1,122,3+1,2500000
Arnavutköy,Daire,Sıfır Bina,1,100,2+1,1750000
Arnavutköy,Daire,5,1,84,2+1,1350000
Arnavutköy,Daire,15,2,140,3+1,2550000
Arnavutköy,Daire,5,4,84,2+1,1350000
Arnavutköy,Daire,6,3,160,4+1,3400000
Arnavutköy,Daire,Sıfır Bina,2,90,2+1,1650000
Arnavutköy,Daire,Sıfır Bina,1,98,2+1,1700000
Arnavutköy,Daire,Sıfır Bina,2,103,3+1,3100000
Arnavutköy,Daire,Sıfır Bina,1,115,3+1,1750000
Arnavutköy,Daire,6,3,210,3+2,2300000
Arnavutköy,Daire,4,1,95,2+1,1500000
Arnavutköy,Daire,29,1,105,2+1,1850000
Arnavutköy,Daire,Sıfır Bina,2,135,3+1,3800000
Arnavutköy,Daire,Sıfır Bina,3,115,2+1,3250000
Arnavutköy,Daire,5,2,85,2+1,1600000
Arnavutköy,Daire,Sıfır Bina,2,100,2+1,1320000
Arnavutköy,Daire,4,1,125,3+1,2100000
Arnavutköy,Daire,9,4,85,2+1,2395000
Arnavutköy,Daire,Sıfır Bina,1,100,2+1,2250000
Arnavutköy,Daire,Sıfır Bina,3,165,4+2,2800000
Arnavutköy,Daire,6,4,100,2+1,3300000
Arnavutköy,Daire,5,1,95,2+1,1550000
Arnavutköy,Daire,Sıfır Bina,4,225,6+2,2300000
Arnavutköy,Daire,Sıfır Bina,1,115,3+1,1550000
Arnavutköy,Daire,Sıfır Bina,2,90,2+1,1600000
Arnavutköy,Daire,9,3,130,3+1,1440000
Arnavutköy,Daire,Sıfır Bina,1,100,2+1,1750000
Arnavutköy,Daire,7,1,80,2+1,1250000
Arnavutköy,Daire,Sıfır Bina,3,185,4+2,2500000
Arnavutköy,Daire,7,4,85,2+1,1990000
Arnavutköy,Daire,Sıfır Bina,5,210,4+2,2250000
Arnavutköy,Daire,11,5,144,3+1,3500000
Arnavutköy,Daire,3,2,172,4+2,2690000
Arnavutköy,Daire,Sıfır Bina,3,200,4+2,2650000
Arnavutköy,Daire,Sıfır Bina,1,98,3+1,1785000
